GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
e-shoping,com.mabc.dto,MarkDTO,0,36,0,0,0,16,0,8,0,8
e-shoping,com.mabc.dto,CartItemDTO,12,34,0,0,4,15,4,6,4,6
e-shoping,com.mabc.dto,ProductDTO,0,106,0,0,0,41,0,20,0,20
e-shoping,com.mabc.dto,CartDTO,4,72,0,0,2,20,1,9,1,9
e-shoping,com.mabc.dto,CategoryDTO,0,36,0,0,0,16,0,8,0,8
e-shoping,com.mabc.services.mark,MarkServiceImpl,0,124,0,18,0,28,0,14,0,5
e-shoping,com.mabc,App,7,0,0,0,3,0,2,0,2,0
e-shoping,com.mabc.entities,Mark,0,44,0,0,0,17,0,8,0,8
e-shoping,com.mabc.entities,Cart,22,37,0,0,7,13,5,5,5,5
e-shoping,com.mabc.entities,CartItem,13,33,0,0,5,14,4,6,4,6
e-shoping,com.mabc.entities,Product,0,106,0,0,0,41,0,20,0,20
e-shoping,com.mabc.entities,Category,0,44,0,0,0,17,0,8,0,8
e-shoping,com.mabc.services.cart,CartServiceImpl,0,337,0,10,0,64,0,17,0,12
e-shoping,com.mabc.services.product,ProductServiceImpl,0,210,0,12,0,47,0,15,0,9
e-shoping,com.mabc.services.category,CategoryServiceImpl,0,120,0,14,0,26,0,12,0,5
